hip_X	hip_Y	hip_Z
	5.806690	-17.433214	-87.127111
	6.051574	-17.802592	-87.361741
	6.390505	-18.216476	-87.669117
	6.831737	-18.666177	-88.031485
	7.377841	-19.137613	-88.423667
	8.023858	-19.610957	-88.817117
	8.754693	-20.061365	-89.186720
	9.542696	-20.460716	-89.516600
	10.346948	-20.779953	-89.802795
	11.115273	-20.991420	-89.946831
	11.790092	-21.070934	-89.715811
	12.318978	-20.999471	-89.484064
	12.666687	-20.764525	-89.231572
	12.822482	-20.361321	-88.941224
	12.800679	-19.793010	-88.602258
	12.636424	-19.069149	-88.212704
	12.377821	-18.203175	-87.778939
	12.075186	-17.210066	-87.312541
	11.770543	-16.105263	-86.826904
	11.491536	-14.904698	-86.334985
	11.251162	-13.624450	-85.847382
	11.051173	-12.279523	-85.371332
	10.886188	-10.882906	-84.911471
	10.747162	-9.445510	-84.471218
	10.623836	-7.976668	-84.053876
	10.506223	-6.484713	-83.663367
	10.385801	-4.976949	-83.304469
	10.256393	-3.459080	-82.982692
	10.114144	-1.935233	-82.704127
	9.956899	-0.409203	-82.475384
	9.783464	1.114137	-82.303598
	9.592975	2.628167	-82.196518
	9.384780	4.124497	-82.162200
	9.158826	5.593594	-82.207553
	8.915497	7.026038	-82.336472
	8.654491	8.413555	-82.549108
	8.374269	9.749097	-82.841771
	8.073362	11.026374	-83.206141
	7.752197	12.239381	-83.629062
	7.413364	13.382162	-84.093926
	7.060441	14.448950	-84.581789
	6.697589	15.434434	-85.071516
	6.330842	16.333685	-85.540736
	5.969197	17.141644	-85.968115
	5.623818	17.852643	-86.335266
	5.306140	18.460264	-86.627468
	5.026105	18.957527	-86.833885
	4.790825	19.337662	-86.947317
	4.603891	19.595036	-86.963861
	4.465825	19.725308	-86.883810
	4.375460	19.725090	-86.713048
	4.330666	19.592052	-86.462625
	4.327440	19.325775	-86.146184
	4.359104	18.928825	-85.777274
	4.417424	18.407141	-85.368349
	4.494652	17.769722	-84.931473
	4.584733	17.028307	-84.479793
	4.683564	16.197010	-84.028752
	4.789178	15.291544	-83.595814
	4.901554	14.328155	-83.199126
	5.021333	13.322698	-82.856040
	5.148541	12.290065	-82.581009
	5.282876	11.243701	-82.383801
	5.424893	10.195043	-82.269393
	5.576551	9.153211	-82.238757
	5.741236	8.125281	-82.289651
	5.924187	7.116980	-82.417082
	6.132993	6.133215	-82.613141
	6.376966	5.177964	-82.867011
	6.664957	4.253075	-83.166586
	7.002445	3.356095	-83.500834
	7.388988	2.478538	-83.860300
	7.815819	1.605656	-84.235632
	8.262888	0.717479	-84.615694
