knee_X	knee_Y	knee_Z
	17.882905	-2.491076	-23.152925
	17.890208	-2.599643	-23.154767
	18.054504	-2.694583	-23.168047
	18.388305	-2.775565	-23.186824
	18.902114	-2.842029	-23.204707
	19.603955	-2.892955	-23.216616
	20.498921	-2.926753	-23.219852
	21.588600	-2.941138	-23.214484
	22.870635	-2.933129	-23.203509
	24.338694	-2.899223	-23.192303
	25.982509	-2.835661	-23.187601
	27.787461	-2.738906	-23.196212
	29.734278	-2.606409	-23.223462
	31.799809	-2.437291	-23.272701
	33.958405	-2.232650	-23.345392
	36.183067	-1.995893	-23.440448
	38.446720	-1.732972	-23.554172
	40.723944	-1.451754	-23.681311
	42.992506	-1.160707	-23.815673
	45.234084	-0.867675	-23.950136
	47.434215	-0.579132	-24.077026
	49.581920	-0.299875	-24.189604
	51.669332	-0.032525	-24.283645
	53.691232	0.223322	-24.357111
	55.644415	0.471555	-24.408952
	57.526945	0.719277	-24.439861
	59.337213	0.975809	-24.454209
	61.073116	1.251568	-24.460283
	62.731791	1.557662	-24.468314
	64.309437	1.905226	-24.487405
	65.800687	2.303309	-24.522664
	67.198189	2.756119	-24.573556
	68.492826	3.261032	-24.633523
	69.674248	3.808003	-24.690989
	70.731533	4.380264	-24.731565
	71.653639	4.955464	-24.740527
	72.429363	5.507254	-24.705220
	73.047133	6.008130	-24.616931
	73.495217	6.432645	-24.471970
	73.762479	6.759514	-24.272975
	73.839412	6.973004	-24.029292
	73.718921	7.063943	-23.754344
	73.396592	7.029579	-23.461930
	72.870713	6.872081	-23.164139
	72.142195	6.596420	-22.870110
	71.214055	6.208860	-22.585524
	70.090622	5.716848	-22.313783
	68.777047	5.129947	-22.057118
	67.279311	4.461039	-21.816184
	65.603967	3.727486	-21.589764
	63.756990	2.951704	-21.375879
	61.742535	2.160044	-21.173743
	59.562524	1.380037	-20.985169
	57.217237	0.637806	-20.814314
	54.707094	-0.042590	-20.667066
	52.035513	-0.638754	-20.551418
	49.211489	-1.130963	-20.478595
	46.250646	-1.505002	-20.464751
	43.174845	-1.755052	-20.530758
	40.011173	-1.885116	-20.698745
	36.790802	-1.909060	-20.988933
	33.547637	-1.850230	-21.417415
	30.317034	-1.740291	-21.992336
	27.134741	-1.615982	-22.709194
	24.036053	-1.513717	-23.547552
	21.055035	-1.463433	-24.470305
	18.223461	-1.483680	-25.426132
	15.570050	-1.579491	-26.355462
	13.120567	-1.743206	-27.198847
	10.898053	-1.957157	-27.904773
	8.923038	-2.197192	-28.435296
	7.213791	-2.436889	-28.770058
	5.786171	-2.651907	-28.908216
	4.653103	-2.823289	-28.867390
	3.824004	-2.939224	-28.679271
	3.303948	-2.995083	-28.382320
	3.092304	-2.991600	-28.013517
	3.181854	-2.932608	-27.601922
	3.559763	-2.823755	-27.165881
	4.209621	-2.671553	-26.713629
	5.113053	-2.482403	-26.246319
	6.251158	-2.262434	-25.763136
	7.605782	-2.018130	-25.267227
	9.159524	-1.757010	-24.770013
	10.894445	-1.487697	-24.291823
	12.790113	-1.218988	-23.857529
	14.821041	-0.958618	-23.488564
