ankle_X	ankle_Y	ankle_Z
	-22.335787	-116.516484	-45.104587
	-21.072222	-118.006889	-46.887352
	-19.834852	-119.291741	-48.615021
	-18.634217	-120.381424	-50.294881
	-17.478288	-121.285284	-51.933723
	-16.372634	-122.010929	-53.537328
	-15.320005	-122.564268	-55.110658
	-14.320143	-122.950758	-56.658130
	-13.370461	-123.177967	-58.184310
	-12.466707	-123.257081	-59.694801
	-11.603350	-123.202375	-61.196439
	-10.774460	-123.030081	-62.697171
	-9.975278	-122.757709	-64.206477
	-9.203391	-122.403908	-65.735550
	-8.458882	-121.988778	-67.295925
	-7.744561	-121.533744	-68.897277
	-7.066732	-121.060033	-70.546390
	-6.435209	-120.586390	-72.247193
	-5.862333	-120.127669	-74.000150
	-5.362593	-119.695328	-75.801060
	-4.953437	-119.299264	-77.640947
	-4.655366	-118.949302	-79.507311
	-4.489859	-118.655531	-81.385193
	-4.476277	-118.427647	-83.257565
	-4.628948	-118.273666	-85.106535
	-4.954697	-118.198614	-86.915821
	-5.451700	-118.202995	-88.672362
	-6.109859	-118.280757	-90.366100
	-6.911890	-118.417890	-91.989480
	-40.264226	14.672860	175.439512
	-40.081637	15.832694	176.596387
	-39.779019	16.965299	177.722531
	-39.373858	18.066183	178.779682
	-38.883047	19.127667	179.737522
	-38.321558	20.137362	-179.424609
	-37.702423	21.076560	-178.718464
	-37.036897	21.919727	-178.148497
	-36.334244	22.635643	-177.713121
	-35.601601	23.190385	-177.406030
	-34.844819	23.551581	-177.217810
	-34.070300	23.692611	-177.137903
	-33.286686	23.595804	-177.156761
	-32.505482	23.254283	-177.267413
	-31.740351	22.672161	-177.466354
	-31.005138	21.862854	-177.754185
	-30.311791	20.845673	-178.135744
	-29.669076	19.641609	-178.619139
	-29.081698	18.269502	-179.214095
	-28.549844	16.743446	-179.930384
	-30.314305	-125.194539	-107.721590
	-31.293309	-125.787738	-107.377385
	-32.240540	-126.284623	-106.872165
	-33.161075	-126.668690	-106.193880
	-34.060497	-126.926434	-105.331750
	-34.945356	-127.046491	-104.276575
	-35.823709	-127.018446	-103.020419
	-36.704515	-126.832280	-101.556237
	-37.596758	-126.477923	-99.877294
	-38.510450	-125.943123	-97.975032
	-39.458624	-125.209228	-95.835207
	-40.457743	-124.246204	-93.433670
	-41.525985	-123.008373	-90.731988
	-42.680111	-121.430777	-87.671853
	-43.930732	-119.424060	-84.167967
	-45.275272	-116.867928	-80.100728
	-46.687251	-113.606171	-75.311264
	-48.099572	-109.448201	-69.604571
	-49.381846	-104.188650	-62.772957
	-50.317947	-97.665255	-54.660383
	-50.600730	-89.876632	-45.289716
	-49.875915	-81.133265	-35.024225
	-47.856477	-72.096822	-24.614301
	-44.459342	-63.556757	-14.970992
	-39.856998	-56.075103	-6.793400
	-34.405078	-49.819767	-0.376958
	-28.517961	-44.657893	4.318169
	-22.570155	-40.332939	7.508489
	-16.847403	-36.589524	9.466786
	-11.538828	-33.227014	10.458797
	-6.752499	-30.110452	10.716919
	-2.537296	-27.162787	10.434685
	1.098089	-24.351270	9.771294
